name,draft_year,sportsref_player_raw,sportsref_url,sportsref_match_method,sportsref_match_score,sportsref_school,sportsref_conf,sportsref_season,sportsref_games,sportsref_games_started,sportsref_mpg,sportsref_ppg,sportsref_rpg,sportsref_apg,sportsref_spg,sportsref_bpg,sportsref_tpg,sportsref_fg_pct,sportsref_two_pct,sportsref_three_pct,sportsref_ft_pct
a j guyton,2000,a j guyton,https://www.sports-reference.com/cbb/players/aj-guyton-1.html,slug_search,100.0,Indiana,Big Ten,1999-00,29.0,29.0,34.3,19.7,3.1,2.3,1.0,0.4,2.4,0.459,0.485,0.419,0.789
brian cardinal,2000,brian cardinal,https://www.sports-reference.com/cbb/players/brian-cardinal-1.html,slug_search,100.0,Purdue,Big Ten,1999-00,32.0,29.0,29.5,13.9,6.3,2.2,2.0,0.3,2.3,0.411,0.455,0.339,0.769
chris carrawell,2000,chris carrawell,https://www.sports-reference.com/cbb/players/chris-carrawell-1.html,slug_search,100.0,Duke,ACC,1999-00,34.0,34.0,35.6,16.9,6.1,3.2,1.0,1.1,2.0,0.486,0.51,0.377,0.778
chris mihm,2000,chris mihm,https://www.sports-reference.com/cbb/players/chris-mihm-1.html,slug_search,100.0,Texas,Big 12,1999-00,33.0,33.0,30.7,17.7,10.5,0.7,0.3,2.7,2.5,0.523,0.525,0.467,0.707
chris porter,2000,chris porter,https://www.sports-reference.com/cbb/players/chris-porter-1.html,slug_search,100.0,Auburn,SEC,1999-00,26.0,26.0,29.0,14.6,7.3,1.2,2.0,0.3,2.1,0.464,0.477,0.235,0.676
courtney alexander,2000,courtney alexander,https://www.sports-reference.com/cbb/players/courtney-alexander-1.html,slug_search,100.0,Fresno St.,WAC,1999-00,27.0,27.0,36.1,24.8,4.7,3.5,1.4,0.1,2.5,0.447,0.499,0.331,0.781
dan langhi,2000,dan langhi,https://www.sports-reference.com/cbb/players/dan-langhi-1.html,slug_search,100.0,Vanderbilt,SEC,1999-00,30.0,29.0,34.4,22.1,6.0,0.8,0.4,0.3,1.8,0.477,0.511,0.403,0.871
dan mcclintock,2000,dan mcclintock,https://www.sports-reference.com/cbb/players/dan-mcclintock-1.html,slug_search,100.0,Northern Ariz.,Big Sky,1999-00,31.0,31.0,24.3,15.6,6.5,1.2,0.4,2.3,1.8,0.597,0.597,,0.682
dermarr johnson,2000,dermarr johnson,https://www.sports-reference.com/cbb/players/dermarr-johnson-1.html,slug_search,100.0,Cincinnati,CUSA,1999-00,32.0,32.0,27.5,12.6,3.8,1.4,1.0,0.9,1.4,0.478,0.575,0.371,0.737
desmond mason,2000,desmond mason,https://www.sports-reference.com/cbb/players/desmond-mason-1.html,slug_search,100.0,Oklahoma St.,Big 12,1999-00,34.0,34.0,35.4,18.0,6.6,1.5,1.2,1.0,1.8,0.499,0.536,0.43,0.767
donnell harvey,2000,donnell harvey,https://www.sports-reference.com/cbb/players/donnell-harvey-1.html,slug_search,100.0,Florida,SEC,1999-00,37.0,9.0,20.2,10.1,7.0,1.0,0.7,0.8,1.6,0.507,0.509,0.0,0.61
eddie house,2000,eddie house,https://www.sports-reference.com/cbb/players/eddie-house-1.html,slug_search,100.0,Arizona St.,Pac-10,1999-00,32.0,31.0,37.2,23.0,5.5,3.5,2.3,0.1,2.3,0.422,0.449,0.365,0.835
eduardo najera,2000,eduardo najera,https://www.sports-reference.com/cbb/players/eduardo-najera-1.html,slug_search,100.0,Oklahoma,Big 12,1999-00,34.0,34.0,34.2,18.4,9.2,2.1,1.7,0.7,2.4,0.455,0.5,0.22,0.688
erick barkley,2000,erick barkley,https://www.sports-reference.com/cbb/players/erick-barkley-1.html,slug_search,100.0,St. John's (NY),Big East,1999-00,28.0,27.0,36.9,16.0,3.0,4.5,3.0,0.3,2.4,0.398,0.454,0.313,0.664
etan thomas,2000,etan thomas,https://www.sports-reference.com/cbb/players/etan-thomas-1.html,slug_search,100.0,Syracuse,Big East,1999-00,29.0,29.0,32.4,13.6,9.3,0.6,0.8,3.7,2.0,0.602,0.602,,0.678
hanno mottola,2000,hanno mottola,https://www.sports-reference.com/cbb/players/hanno-mottola-1.html,slug_search,100.0,Utah,MWC,1999-00,21.0,19.0,27.6,17.0,4.8,1.7,0.2,0.6,3.0,0.498,0.549,0.35,0.827
jabari smith,2000,jabari smith,https://www.sports-reference.com/cbb/players/jabari-smith-1.html,slug_search,100.0,LSU,SEC,1999-00,34.0,34.0,28.5,12.5,7.0,2.2,0.7,1.0,2.6,0.553,0.579,0.371,0.595
jake voskuhl,2000,jake voskuhl,https://www.sports-reference.com/cbb/players/jake-voskuhl-1.html,slug_search,100.0,UConn,Big East,1999-00,34.0,34.0,22.9,8.5,6.4,1.1,0.5,1.4,1.8,0.571,0.571,,0.683
jamaal magloire,2000,jamaal magloire,https://www.sports-reference.com/cbb/players/jamaal-magloire-1.html,slug_search,100.0,Kentucky,SEC,1999-00,33.0,33.0,29.6,13.2,9.1,0.5,0.5,1.7,2.9,0.5,0.5,,0.685
jamal crawford,2000,jamal crawford,https://www.sports-reference.com/cbb/players/jamal-crawford-1.html,slug_search,100.0,Michigan,Big Ten,1999-00,17.0,16.0,33.9,16.6,2.8,4.5,1.1,0.9,3.1,0.412,0.468,0.327,0.784
jaquay walls,2000,jaquay walls,https://www.sports-reference.com/cbb/players/jaquay-walls-1.html,slug_search,100.0,Colorado,Big 12,1999-00,32.0,32.0,30.8,17.0,3.2,4.5,1.5,0.2,2.6,0.441,0.474,0.388,0.754
jason collier,2000,jason collier,https://www.sports-reference.com/cbb/players/jason-collier-1.html,slug_search,100.0,Ga Tech,ACC,1999-00,30.0,30.0,32.5,17.0,9.2,1.6,0.8,1.1,3.2,0.473,0.503,0.369,0.735
jason hart,2000,jason hart,https://www.sports-reference.com/cbb/players/jason-hart-1.html,slug_search,100.0,Syracuse,Big East,1999-00,32.0,32.0,33.8,11.9,3.0,6.5,1.8,0.1,3.5,0.411,0.46,0.33,0.734
jerome moiso,2000,jerome moiso,https://www.sports-reference.com/cbb/players/jerome-moiso-1.html,slug_search,100.0,UCLA,Pac-10,1999-00,33.0,30.0,29.5,13.0,7.6,1.2,1.1,1.7,2.7,0.501,0.508,0.167,0.613
joel przybilla,2000,joel przybilla,https://www.sports-reference.com/cbb/players/joel-przybilla-1.html,slug_search,100.0,Minnesota,Big Ten,1999-00,21.0,19.0,30.4,14.2,8.4,2.4,0.8,3.9,3.7,0.613,0.613,,0.495
kaniel dickens,2000,kaniel dickens,https://www.sports-reference.com/cbb/players/kaniel-dickens-1.html,slug_search,100.0,Idaho,Big West,1999-00,29.0,29.0,27.4,12.1,6.6,0.9,0.9,0.9,2.2,0.486,0.502,0.382,0.638
kenyon martin,2000,kenyon martin,https://www.sports-reference.com/cbb/players/kenyon-martin-1.html,slug_search,100.0,Cincinnati,CUSA,1999-00,31.0,31.0,29.3,18.9,9.7,1.4,1.4,3.5,1.8,0.568,0.573,0.286,0.684
keyon dooling,2000,keyon dooling,https://www.sports-reference.com/cbb/players/keyon-dooling-1.html,slug_search,100.0,Missouri,Big 12,1999-00,31.0,30.0,31.7,15.3,2.7,3.6,1.4,0.5,2.5,0.389,0.424,0.347,0.743
khalid el amin,2000,khalid el amin,https://www.sports-reference.com/cbb/players/khalid-el-amin-1.html,slug_search,100.0,UConn,Big East,1999-00,35.0,35.0,31.9,16.0,3.1,5.2,1.7,0.1,2.7,0.411,0.443,0.356,0.892
lavor postell,2000,lavor postell,https://www.sports-reference.com/cbb/players/lavor-postell-1.html,slug_search,100.0,St. John's (NY),Big East,1999-00,33.0,33.0,35.0,14.3,6.9,1.8,0.9,0.6,1.5,0.428,0.463,0.294,0.809
mamadou n diaye,2000,mamadou n diaye,https://www.sports-reference.com/cbb/players/mamadou-ndiaye-1.html,slug_search,100.0,Auburn,SEC,1999-00,34.0,33.0,26.6,8.9,7.9,0.5,0.8,1.9,2.1,0.535,0.535,,0.665
marcus fizer,2000,marcus fizer,https://www.sports-reference.com/cbb/players/marcus-fizer-1.html,slug_search,100.0,Iowa St.,Big 12,1999-00,37.0,37.0,33.6,22.8,7.7,1.1,0.8,1.1,2.1,0.582,0.6,0.357,0.732
mark karcher,2000,mark karcher,https://www.sports-reference.com/cbb/players/mark-karcher-1.html,slug_search,100.0,Temple,A-10,1999-00,32.0,32.0,31.9,15.8,4.6,2.2,1.8,0.2,2.0,0.378,0.407,0.349,0.569
mark madsen,2000,mark madsen,https://www.sports-reference.com/cbb/players/mark-madsen-1.html,slug_search,100.0,Stanford,Pac-10,1999-00,23.0,20.0,27.3,12.2,9.3,1.1,0.6,0.9,1.5,0.587,0.587,,0.575
mateen cleaves,2000,mateen cleaves,https://www.sports-reference.com/cbb/players/mateen-cleaves-1.html,slug_search,100.0,Michigan St.,Big Ten,1999-00,26.0,24.0,31.5,12.1,1.8,6.9,1.4,0.2,3.7,0.421,0.443,0.376,0.756
michael redd,2000,michael redd,https://www.sports-reference.com/cbb/players/michael-redd-1.html,slug_search,100.0,Ohio St.,Big Ten,1999-00,30.0,30.0,33.5,17.3,6.5,2.1,1.2,0.2,2.1,0.436,0.474,0.315,0.776
mike miller,2000,mike miller,https://www.sports-reference.com/cbb/players/mike-miller-1.html,slug_search,100.0,Florida,SEC,1999-00,37.0,37.0,28.6,14.1,6.6,2.5,1.2,0.4,1.9,0.476,0.559,0.338,0.729
mike smith,2000,mike smith,https://www.sports-reference.com/cbb/players/mike-smith-1.html,slug_search,100.0,La.-Monroe,Southland,1999-00,28.0,27.0,36.1,20.1,9.4,3.4,1.5,0.9,4.3,0.424,0.511,0.338,0.801
morris peterson,2000,morris peterson,https://www.sports-reference.com/cbb/players/morris-peterson-1.html,slug_search,100.0,Michigan St.,Big Ten,1999-00,39.0,38.0,29.1,16.8,6.0,1.3,1.2,0.3,2.2,0.465,0.494,0.425,0.773
pete mickeal,2000,pete mickeal,https://www.sports-reference.com/cbb/players/pete-mickeal-1.html,slug_search,100.0,Cincinnati,CUSA,1999-00,32.0,31.0,31.3,13.5,6.3,1.8,1.4,0.5,2.2,0.504,0.545,0.35,0.723
quentin richardson,2000,quentin richardson,https://www.sports-reference.com/cbb/players/quentin-richardson-1.html,slug_search,100.0,DePaul,CUSA,1999-00,33.0,33.0,34.8,17.0,9.8,2.2,1.1,0.3,2.3,0.432,0.464,0.384,0.706
scoonie penn,2000,scoonie penn,https://www.sports-reference.com/cbb/players/scoonie-penn-1.html,slug_search,100.0,Ohio St.,Big Ten,1999-00,30.0,30.0,35.0,15.6,4.4,4.3,2.2,0.1,2.6,0.386,0.474,0.313,0.755
speedy claxton,2000,speedy claxton,https://www.sports-reference.com/cbb/players/speedy-claxton-1.html,slug_search,100.0,Hofstra,AmEast,1999-00,31.0,31.0,35.1,22.8,5.4,6.0,3.3,0.2,3.3,0.47,0.5,0.381,0.764
stromile swift,2000,stromile swift,https://www.sports-reference.com/cbb/players/stromile-swift-1.html,slug_search,100.0,LSU,SEC,1999-00,34.0,33.0,29.8,16.2,8.2,0.9,1.5,2.8,2.4,0.608,0.634,0.28,0.617
alton ford,2001,alton ford,https://www.sports-reference.com/cbb/players/alton-ford-1.html,slug_search,100.0,Houston,CUSA,2000-01,26.0,18.0,25.5,10.8,5.9,0.7,0.2,0.7,2.5,0.432,0.462,0.265,0.609
alvin jones,2001,alvin jones,https://www.sports-reference.com/cbb/players/alvin-jones-1.html,slug_search,100.0,Ga Tech,ACC,2000-01,30.0,30.0,29.2,13.4,10.4,1.5,0.9,3.4,3.0,0.482,0.486,0.0,0.596
andre hutson,2001,andre hutson,https://www.sports-reference.com/cbb/players/andre-hutson-1.html,slug_search,100.0,Michigan St.,Big Ten,2000-01,32.0,31.0,29.9,13.8,7.6,1.9,0.8,0.5,1.6,0.622,0.622,,0.725
bobby simmons,2001,bobby simmons,https://www.sports-reference.com/cbb/players/bobby-simmons-1.html,slug_search,100.0,DePaul,CUSA,2000-01,29.0,28.0,33.8,16.7,8.6,2.5,0.8,0.1,2.1,0.447,0.524,0.37,0.8
brandon armstrong,2001,brandon armstrong,https://www.sports-reference.com/cbb/players/brandon-armstrong-1.html,slug_search,100.0,Pepperdine,WCC,2000-01,31.0,30.0,33.1,22.1,3.3,1.5,1.5,0.2,2.1,0.447,0.484,0.384,0.826
brendan haywood,2001,brendan haywood,https://www.sports-reference.com/cbb/players/brendan-haywood-1.html,slug_search,100.0,UNC,ACC,2000-01,33.0,33.0,27.3,12.3,7.3,1.3,0.5,3.6,2.0,0.592,0.592,,0.516
brian scalabrine,2001,brian scalabrine,https://www.sports-reference.com/cbb/players/brian-scalabrine-1.html,slug_search,100.0,USC,Pac-10,2000-01,34.0,33.0,32.8,14.7,5.9,2.8,0.9,0.9,3.1,0.478,0.517,0.303,0.801
bryan bracey,2001,bryan bracey,https://www.sports-reference.com/cbb/players/bryan-bracey-1.html,slug_search,100.0,Oregon,Pac-10,2000-01,28.0,25.0,30.6,18.6,7.1,1.0,1.0,0.3,2.6,0.493,0.515,0.427,0.788
damone brown,2001,damone brown,https://www.sports-reference.com/cbb/players/damone-brown-1.html,slug_search,100.0,Syracuse,Big East,2000-01,34.0,34.0,35.9,16.4,8.8,1.6,1.7,1.4,2.0,0.492,0.499,0.286,0.791
earl watson,2001,earl watson,https://www.sports-reference.com/cbb/players/earl-watson-1.html,slug_search,100.0,UCLA,Pac-10,2000-01,32.0,32.0,34.8,14.7,3.7,5.2,1.9,0.3,3.4,0.493,0.556,0.352,0.636
eddie griffin,2001,eddie griffin,https://www.sports-reference.com/cbb/players/eddie-griffin-1.html,slug_search,100.0,Seton Hall,Big East,2000-01,30.0,30.0,32.6,17.8,10.8,1.6,0.9,4.4,2.2,0.429,0.469,0.32,0.734
eric chenowith,2001,eric chenowith,https://www.sports-reference.com/cbb/players/eric-chenowith-1.html,slug_search,100.0,Kansas,Big 12,2000-01,33.0,25.0,22.6,9.5,7.6,0.8,0.3,1.5,2.1,0.457,0.461,0.0,0.684
gerald wallace,2001,gerald wallace,https://www.sports-reference.com/cbb/players/gerald-wallace-1.html,slug_search,100.0,Alabama,SEC,2000-01,36.0,2.0,22.9,9.8,6.0,1.5,1.2,1.0,2.4,0.438,0.511,0.175,0.568
gilbert arenas,2001,gilbert arenas,https://www.sports-reference.com/cbb/players/gilbert-arenas-1.html,slug_search,100.0,Arizona,Pac-10,2000-01,36.0,33.0,29.0,16.2,3.6,2.3,1.8,0.2,2.8,0.479,0.519,0.416,0.724
jamaal tinsley,2001,jamaal tinsley,https://www.sports-reference.com/cbb/players/jamaal-tinsley-1.html,slug_search,100.0,Iowa St.,Big 12,2000-01,31.0,31.0,32.2,14.3,3.8,6.0,2.5,0.6,3.8,0.399,0.406,0.381,0.692
jamison brewer,2001,jamison brewer,https://www.sports-reference.com/cbb/players/jamison-brewer-1.html,slug_search,100.0,Auburn,SEC,2000-01,32.0,32.0,32.3,8.4,7.2,5.8,1.5,0.1,2.9,0.469,0.534,0.227,0.529
jarron collins,2001,jarron collins,https://www.sports-reference.com/cbb/players/jarron-collins-1.html,slug_search,100.0,Stanford,Pac-10,2000-01,34.0,34.0,28.3,12.8,6.7,1.4,0.6,0.6,1.5,0.558,0.563,0.333,0.687
jason collins,2001,jason collins,https://www.sports-reference.com/cbb/players/jason-collins-1.html,slug_search,100.0,Stanford,Pac-10,2000-01,34.0,34.0,26.3,14.5,7.8,1.5,0.8,1.3,1.6,0.62,0.637,0.462,0.784
jason richardson,2001,jason richardson,https://www.sports-reference.com/cbb/players/jason-richardson-1.html,slug_search,100.0,Michigan St.,Big Ten,2000-01,33.0,32.0,28.5,14.7,5.9,2.2,1.2,0.8,1.3,0.503,0.554,0.402,0.689
jeff trepagnier,2001,jeff trepagnier,https://www.sports-reference.com/cbb/players/jeff-trepagnier-1.html,slug_search,100.0,USC,Pac-10,2000-01,21.0,17.0,29.6,9.0,5.1,1.6,1.5,1.0,1.9,0.453,0.512,0.235,0.607
jeryl sasser,2001,jeryl sasser,https://www.sports-reference.com/cbb/players/jeryl-sasser-1.html,slug_search,100.0,SMU,WAC,2000-01,29.0,28.0,34.9,17.0,8.3,4.2,1.4,0.6,2.1,0.394,0.437,0.287,0.718
joe johnson,2001,joe johnson,https://www.sports-reference.com/cbb/players/joe-johnson-1.html,slug_search,100.0,Arkansas,SEC,2000-01,30.0,27.0,29.1,14.2,6.4,2.6,1.4,0.4,2.3,0.468,0.476,0.443,0.747
joseph forte,2001,joseph forte,https://www.sports-reference.com/cbb/players/joseph-forte-1.html,slug_search,100.0,UNC,ACC,2000-01,33.0,32.0,34.7,20.9,6.1,3.5,2.0,0.4,2.5,0.45,0.476,0.377,0.853
ken johnson,2001,ken johnson,https://www.sports-reference.com/cbb/players/ken-johnson-2.html,slug_search,100.0,Ohio St.,Big Ten,2000-01,31.0,31.0,29.5,12.5,7.3,0.8,0.4,4.0,2.4,0.578,0.578,,0.711
kenny satterfield,2001,kenny satterfield,https://www.sports-reference.com/cbb/players/kenny-satterfield-1.html,slug_search,100.0,Cincinnati,CUSA,2000-01,35.0,34.0,34.4,14.4,4.7,5.1,1.7,0.2,3.2,0.387,0.415,0.333,0.788
kirk haston,2001,kirk haston,https://www.sports-reference.com/cbb/players/kirk-haston-1.html,slug_search,100.0,Indiana,Big Ten,2000-01,33.0,28.0,30.8,19.0,8.7,1.2,1.1,1.2,2.4,0.44,0.449,0.377,0.687
kyle hill,2001,kyle hill,https://www.sports-reference.com/cbb/players/kyle-hill-1.html,slug_search,100.0,Eastern Ill.,OVC,2000-01,31.0,31.0,33.6,23.8,4.9,4.0,1.5,0.7,2.9,0.473,0.497,0.432,0.839
loren woods,2001,loren woods,https://www.sports-reference.com/cbb/players/loren-woods-1.html,slug_search,100.0,Arizona,Pac-10,2000-01,29.0,28.0,30.3,13.2,6.5,2.1,0.7,2.9,2.0,0.504,0.506,0.333,0.83
maurice jeffers,2001,maurice jeffers,https://www.sports-reference.com/cbb/players/maurice-jeffers-1.html,slug_search,100.0,Saint Louis,CUSA,2000-01,31.0,31.0,32.6,16.0,6.1,2.5,0.9,0.5,2.2,0.449,0.451,0.438,0.777
michael bradley,2001,michael bradley,https://www.sports-reference.com/cbb/players/michael-bradley-1.html,slug_search,100.0,Villanova,Big East,2000-01,31.0,31.0,34.0,20.8,9.8,2.6,0.9,1.8,2.8,0.692,0.727,0.353,0.59
michael wright,2001,michael wright,https://www.sports-reference.com/cbb/players/michael-wright-1.html,slug_search,100.0,Arizona,Pac-10,2000-01,36.0,36.0,27.9,15.6,7.8,0.3,0.6,0.3,1.8,0.594,0.599,0.0,0.797
omar cook,2001,omar cook,https://www.sports-reference.com/cbb/players/omar-cook-1.html,slug_search,100.0,St. John's (NY),Big East,2000-01,29.0,29.0,38.2,15.3,3.0,8.7,2.3,0.2,5.1,0.36,0.424,0.309,0.742
richard jefferson,2001,richard jefferson,https://www.sports-reference.com/cbb/players/richard-jefferson-1.html,slug_search,100.0,Arizona,Pac-10,2000-01,35.0,34.0,27.5,11.3,5.4,2.7,0.8,0.8,3.0,0.479,0.535,0.344,0.655
rodney white,2001,rodney white,https://www.sports-reference.com/cbb/players/rodney-white-1.html,slug_search,100.0,Charlotte,CUSA,2000-01,28.0,26.0,30.9,18.7,6.5,1.5,1.2,0.7,2.9,0.487,0.533,0.347,0.713
ruben boumtje boumtje,2001,ruben boumtje boumtje,https://www.sports-reference.com/cbb/players/ruben-boumtje-boumtje-1.html,slug_search,100.0,Georgetown,Big East,2000-01,33.0,33.0,21.6,9.1,6.8,0.9,0.7,2.4,2.2,0.517,0.517,,0.718
samuel dalembert,2001,samuel dalembert,https://www.sports-reference.com/cbb/players/samuel-dalembert-1.html,slug_search,100.0,Seton Hall,Big East,2000-01,29.0,27.0,21.4,8.3,5.7,0.3,0.5,2.1,1.9,0.565,0.565,,0.556
sean lampley,2001,sean lampley,https://www.sports-reference.com/cbb/players/sean-lampley-1.html,slug_search,100.0,Cal,Pac-10,2000-01,31.0,31.0,34.6,19.5,7.2,3.3,0.9,0.5,3.6,0.502,0.527,0.212,0.738
shane battier,2001,shane battier,https://www.sports-reference.com/cbb/players/shane-battier-1.html,slug_search,100.0,Duke,ACC,2000-01,39.0,39.0,34.9,19.9,7.3,1.8,2.1,2.3,1.5,0.471,0.536,0.419,0.796
steven hunter,2001,steven hunter,https://www.sports-reference.com/cbb/players/steven-hunter-1.html,slug_search,100.0,DePaul,CUSA,2000-01,30.0,27.0,26.9,11.4,5.6,0.5,0.2,2.4,1.5,0.592,0.592,,0.536
terence morris,2001,terence morris,https://www.sports-reference.com/cbb/players/terence-morris-1.html,slug_search,100.0,Maryland,ACC,2000-01,36.0,36.0,27.6,12.2,7.7,1.9,0.9,2.2,1.8,0.432,0.478,0.289,0.795
trenton hassell,2001,trenton hassell,https://www.sports-reference.com/cbb/players/trenton-hassell-1.html,slug_search,100.0,Austin Peay,OVC,2000-01,32.0,32.0,37.9,21.7,7.8,4.5,1.2,0.5,3.8,0.485,0.52,0.39,0.796
troy murphy,2001,troy murphy,https://www.sports-reference.com/cbb/players/troy-murphy-1.html,slug_search,100.0,Notre Dame,Big East,2000-01,30.0,29.0,36.3,21.8,9.2,2.1,0.9,1.7,3.0,0.471,0.499,0.349,0.766
will solomon,2001,will solomon,https://www.sports-reference.com/cbb/players/will-solomon-1.html,slug_search,100.0,Clemson,ACC,2000-01,30.0,28.0,33.3,19.7,2.9,3.4,1.4,0.3,4.1,0.397,0.421,0.377,0.788
zach randolph,2001,zach randolph,https://www.sports-reference.com/cbb/players/zach-randolph-1.html,slug_search,100.0,Michigan St.,Big Ten,2000-01,33.0,8.0,19.8,10.8,6.7,1.0,0.7,0.7,1.6,0.587,0.59,0.0,0.635
carlos boozer,2002,carlos boozer,https://www.sports-reference.com/cbb/players/carlos-boozer-1.html,slug_search,100.0,Duke,ACC,2001-02,35.0,35.0,28.4,18.2,8.7,1.1,0.9,0.6,1.9,0.665,0.667,0.0,0.754
caron butler,2002,caron butler,https://www.sports-reference.com/cbb/players/caron-butler-1.html,slug_search,100.0,UConn,Big East,2001-02,34.0,34.0,36.0,20.3,7.5,3.0,2.1,0.4,2.9,0.486,0.5,0.4,0.779
casey jacobsen,2002,casey jacobsen,https://www.sports-reference.com/cbb/players/casey-jacobsen-1.html,slug_search,100.0,Stanford,Pac-10,2001-02,30.0,30.0,35.3,21.9,4.5,3.5,0.6,0.1,2.4,0.441,0.481,0.372,0.776
chris jefferies,2002,chris jefferies,https://www.sports-reference.com/cbb/players/chris-jefferies-1.html,slug_search,100.0,Fresno St.,WAC,2001-02,21.0,21.0,34.6,17.3,6.3,3.0,1.2,1.2,2.4,0.418,0.474,0.347,0.634
chris owens,2002,chris owens,https://www.sports-reference.com/cbb/players/chris-owens-1.html,slug_search,100.0,Texas,Big 12,2001-02,11.0,11.0,27.2,15.8,7.4,0.8,0.7,1.9,1.7,0.5,0.518,0.3,0.627
chris wilcox,2002,chris wilcox,https://www.sports-reference.com/cbb/players/chris-wilcox-1.html,slug_search,100.0,Maryland,ACC,2001-02,36.0,26.0,24.1,12.0,7.1,1.5,0.8,1.5,1.5,0.504,0.507,0.0,0.585
corsley edwards,2002,corsley edwards,https://www.sports-reference.com/cbb/players/corsley-edwards-1.html,slug_search,100.0,Central Conn St,NEC,2001-02,32.0,32.0,31.0,15.4,8.7,1.0,1.4,1.5,2.2,0.504,0.504,,0.761
curtis borchardt,2002,curtis borchardt,https://www.sports-reference.com/cbb/players/curtis-borchardt-1.html,slug_search,100.0,Stanford,Pac-10,2001-02,29.0,29.0,30.9,16.9,11.4,2.0,0.6,2.9,2.0,0.576,0.593,0.407,0.67
dajuan wagner,2002,dajuan wagner,https://www.sports-reference.com/cbb/players/dajuan-wagner-1.html,slug_search,100.0,Memphis,CUSA,2001-02,36.0,35.0,31.8,21.2,2.5,3.6,1.2,0.6,2.9,0.41,0.453,0.317,0.722
dan dickau,2002,dan dickau,https://www.sports-reference.com/cbb/players/dan-dickau-1.html,slug_search,100.0,Gonzaga,WCC,2001-02,32.0,32.0,34.7,21.0,3.0,4.7,0.8,0.1,2.9,0.441,0.419,0.457,0.864
dan gadzuric,2002,dan gadzuric,https://www.sports-reference.com/cbb/players/dan-gadzuric-1.html,slug_search,100.0,UCLA,Pac-10,2001-02,33.0,33.0,26.2,11.7,7.7,0.7,0.5,1.3,1.6,0.554,0.556,0.0,0.472
darius songaila,2002,darius songaila,https://www.sports-reference.com/cbb/players/darius-songaila-1.html,slug_search,100.0,Wake Forest,ACC,2001-02,34.0,34.0,30.5,17.9,8.1,2.6,1.3,0.8,3.5,0.523,0.529,0.375,0.854
drew gooden,2002,drew gooden,https://www.sports-reference.com/cbb/players/drew-gooden-1.html,slug_search,100.0,Kansas,Big 12,2001-02,37.0,36.0,30.2,19.8,11.4,2.0,1.8,1.4,2.9,0.504,0.519,0.278,0.755
frank williams,2002,frank williams,https://www.sports-reference.com/cbb/players/frank-williams-1.html,slug_search,100.0,Illinois,Big Ten,2001-02,35.0,34.0,32.4,16.2,4.7,4.4,2.0,0.3,2.7,0.393,0.423,0.34,0.808
fred jones,2002,fred jones,https://www.sports-reference.com/cbb/players/fred-jones-1.html,slug_search,100.0,Oregon,Pac-10,2001-02,35.0,33.0,31.5,18.6,5.4,3.2,1.8,0.5,2.3,0.521,0.594,0.372,0.871
jamal sampson,2002,jamal sampson,https://www.sports-reference.com/cbb/players/jamal-sampson-1.html,slug_search,100.0,Cal,Pac-10,2001-02,32.0,31.0,24.9,6.4,6.5,1.2,0.5,1.7,1.7,0.426,0.426,,0.526
jared jeffries,2002,jared jeffries,https://www.sports-reference.com/cbb/players/jared-jeffries-1.html,slug_search,100.0,Indiana,Big Ten,2001-02,36.0,36.0,32.6,15.0,7.6,2.1,1.5,1.3,2.8,0.457,0.472,0.38,0.667
